Loyalty Number,Year,Month,Flights Booked,Flights with Companions,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Date
100018,2017,1,3,0,3,1521,152.0,0,0,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,92552,Married,Aurora,7919.2,Standard,2016-08-01
100102,2017,1,10,4,14,2030,203.0,0,0,Canada,Ontario,Toronto,M1R 4K3,Male,College,79258,Single,Nova,2887.74,Standard,2013-03-01
100140,2017,1,6,0,6,1200,120.0,0,0,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,College,79258,Divorced,Nova,2838.07,Standard,2016-07-01
100214,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,63253,Married,Star,4170.57,Standard,2015-08-01
100272,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,P1L 8X8,Female,Bachelor,91163,Divorced,Star,6622.05,Standard,2014-01-01
100301,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,70323,Divorced,Nova,48356.96,Standard,2013-09-01
100364,2017,1,0,0,0,0,0.0,0,0,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76849,Married,Nova,5143.88,Standard,2015-05-01
100380,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,69695,Single,Star,2465.62,Standard,2012-10-01
100428,2017,1,6,0,6,606,60.0,0,0,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,63478,Married,Aurora,5845.43,Standard,2012-08-01
100504,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,75638,Divorced,Nova,8807.61,Standard,2017-07-01
100550,2017,1,3,0,3,2037,203.0,0,0,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,54133,Married,Nova,7861.8,Standard,2013-02-01
863070,2017,9,8,7,15,4245,424.0,341,28,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,89340,Divorced,Nova,32871.75,Standard,2013-02-01
100590,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,69841,Married,Star,34090.04,2018 Promotion,2018-03-01
100642,2017,1,0,0,0,0,0.0,0,0,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,51667,Married,Nova,4892.63,Standard,2012-05-01
100644,2017,1,0,0,0,0,0.0,0,0,Canada,Alberta,Peace River,T9O 2W2,Female,Master,94440,Divorced,Star,4458.11,Standard,2015-07-01
100646,2017,1,0,0,0,0,0.0,0,0,Canada,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,101933,Married,Star,2471.53,Standard,2015-10-01
100727,2017,1,11,0,11,1144,114.0,0,0,Canada,Quebec,Tremblant,H5Y 2S9,Male,Master,128118,Married,Nova,3873.65,Standard,2014-03-01
100737,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,79258,Single,Star,12786.67,Standard,2017-04-01
100753,2017,1,8,4,12,3264,326.0,0,0,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,47717,Divorced,Star,2534.31,Standard,2015-10-01
100816,2017,1,9,1,10,2340,234.0,0,0,Canada,Ontario,Ottawa,K1F 2R2,Female,Master,97497,Divorced,Aurora,6273.91,Standard,2013-03-01
100853,2017,1,6,6,12,1236,123.0,0,0,Canada,Ontario,Trenton,K8V 4B2,Male,College,79258,Married,Star,10153.89,Standard,2016-01-01
100883,2017,1,11,0,11,3124,312.0,0,0,Canada,Manitoba,Winnipeg,R3R 3T4,Female,College,79258,Single,Star,3561.04,Standard,2013-06-01
100890,2017,1,8,0,8,2296,229.0,0,0,Canada,Ontario,Toronto,P1W 1K4,Female,College,79258,Divorced,Nova,8007.4,Standard,2014-08-01
101018,2017,1,9,0,9,2772,277.0,0,0,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,56523,Married,Nova,4392.98,Standard,2014-04-01
101148,2017,1,0,0,0,0,0.0,0,0,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,45229,Single,Nova,4770.55,Standard,2012-11-01
101356,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,50688,Married,Nova,7482.64,Standard,2012-11-01
101363,2017,1,8,0,8,2944,294.0,0,0,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,59310,Married,Star,12898.59,Standard,2016-04-01
691626,2018,9,8,7,15,4245,424.0,341,28,Canada,British Columbia,Vancouver,V6E 3D9,Female,College,79258,Married,Star,5085.02,2018 Promotion,2018-04-01
101515,2017,1,11,0,11,1100,110.0,0,0,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,68711,Married,Nova,7737.27,Standard,2014-01-01
101540,2017,1,0,0,0,0,0.0,0,0,Canada,Ontario,London,M5B 3E4,Female,Bachelor,69020,Single,Star,2688.88,Standard,2017-05-01
